ID,Assoc ID,Functional Requirement / Use Case,Architectural/Design Document,Software Module(s),Test Case Number,Additional Comments
001,1.1.1,Application shall allow the UI to list Aircraft and associated data,Design: API endpoints for aircraft listing,TaskForceAPI/src/routes/aircraft.routes.ts; React src/components/ListAircraft.jsx,src/api/aircraft.js,002,Requires working DB connection
002,2.2.2,Application shall allow the UI to list Tasks with descriptions and status,Design: API endpoints for tasks listing,TaskForceAPI/src/routes/tasks.routes.ts; React src/components/ListTask.jsx,src/api/tasks.js,003,Relies on aircraft foreign key mapping
003,3.3.3,Application shall provide Personnel listing and details,Design: API endpoints for personnel listing,TaskForceAPI/src/routes/personnel.routes.ts; React src/components/ListPersonnel.jsx,src/api/personnel.js,004,Used in assignments display and creation
004,4.4.4,Application shall provide Assignments listing with joined task and personnel info,Design: assignment queries return joined view,TaskForceAPI/src/queries/assignments.queries.ts; React src/components/ListAssignment.jsx,src/api/assignments.js,005,Initial UI expected nested lines but API returns flat view; component updated
005,5.5.5,Application shall expose create/update/delete endpoints for CRUD operations,Design: standard REST routes for each resource,TaskForceAPI/src/controllers/* ; React src/components/CreateEdit*.jsx,009;010,Manual CRUD tests recommended
006,6.6.6,Application shall provide secure authentication (login) and user profile endpoints,Design: JWT-based auth with /auth routes,TaskForceAPI/src/controllers/auth.controller.ts; middleware/auth.middleware.ts; React src/components/Login.jsx,001; (additional auth flow tests),Include token refresh and secure storage notes
007,7.7.7,Application shall enforce role-based access control for pages and API actions,Design: RBAC middleware checking JWT claims,TaskForceAPI/src/middleware/role.middleware.ts; React src/components/ProtectedRoute.jsx,006;007;008,Map roles to UI components and API routes
008,8.8.8,Application shall support Training records CRUD and progress tracking,Design: /training endpoints and Training table,TaskForceAPI/src/controllers/training.controller.ts; React src/components/Training.jsx, (training tests),Includes phase tracking and completion flags
009,9.9.9,Application shall provide Archive creation and retrieval endpoints (manual and auto),Design: /archives endpoints + cron job,TaskForceAPI/src/controllers/archives.controller.ts; src/services/archive.service.ts; CRON config, (archive tests),Supports POST /archives/manual and auto-run /archives/auto
010,10.10.10,Application shall export data to CSV and PDF from UI,Design: export utilities using SheetJS and jsPDF,React src/utils/exportCsv.js; React src/utils/exportPdf.js; buttons in UI pages, (export tests),Ensure large exports handled and basic styling of PDF
011,11.11.11,Application shall provide dashboards and summary views for managers,Design: Dashboard components and aggregated queries,TaskForceAPI/src/controllers/dashboard.controller.ts; React src/components/Dashboard.jsx, (dashboard tests),Include KPIs: open tasks, completed tasks, training progress
012,12.12.12,Application shall support token refresh and idle timeout to improve security,Design: refresh token endpoint and frontend refresh logic,TaskForceAPI/src/controllers/auth.controller.ts; React src/hooks/useAuth.js, (auth refresh tests),High priority NFR
013,13.13.13,Application shall log audit trails for critical actions (create/update/delete),Design: Audit logs saved to DB and accessible by Admin,TaskForceAPI/src/services/audit.service.ts; DB table: audit_logs, (audit tests),Retention policy note
014,14.14.14,Application shall provide CRON-based daily archiving and retention policy,Design: CRON job config + archive service,TaskForceAPI/scripts/cron.js; TaskForceAPI/src/services/archive.service.ts, (cron tests),Retention: store 2 years, then external backup
015,15.15.15,Application shall be deployable in a secure on-premises environment without public hosting,Design: deployment docs and local server config,docs/deployment.md, (deployment checklist),Include instructions for ports, backups, and firewall rules
016,16.16.16,Non-functional: Application shall use HTTPS within intranet and secure DB connections,Design: secure transport and DB credentials management,.env usage and deployment guidance,docs/security.md, (security review),Include notes about certs if internal CA used
017,17.17.17,Non-functional: Application shall have role-based UI theme persistence (dark mode saved per user),Design: localStorage + user preference API,React src/utils/theme.js; React components, (UI tests),Persisted setting per user on login
018,18.18.18,Non-functional: Application shall provide export and archival alerts and confirmations,Design: UI alerts and server confirmations,React src/components/Alerts.jsx; TaskForceAPI/src/controllers/archives.controller.ts, (UI tests),Notifications on export and archive completion
019,19.19.19,Non-functional: Application shall include automated integration tests for smoke checks (GETs, POSTs),Design: Postman collection / Newman or Jest + supertest,tests/postman/TaskForce.postman_collection.json; tests/integration, (CI tests),Recommend running on CI pipeline before merge
020,20.20.20,Non-functional: Application shall implement input validation and basic rate-limiting on API,Design: validation middleware and rate limiter,TaskForceAPI/src/middleware/validation.middleware.ts; src/middleware/rateLimiter.middleware.ts, (security tests),Protect against malformed input and DoS
