Test Case ID,Feature/Module,Test Scenario,Test Type,Preconditions,Test Steps,Expected Result,Actual Result,Status,Notes
AUTH-001,Authentication,User login with valid credentials,Positive,Valid user exists in database,"1. Send POST /auth/login with username and password
2. Verify response",Returns 200 status with accessToken and user details,,,Implemented in auth.test.ts
AUTH-002,Authentication,User login with invalid password,Negative,Valid user exists in database,"1. Send POST /auth/login with valid username and wrong password
2. Verify response",Returns 401 status with error message,,,Implemented in auth.test.ts
AUTH-003,Authentication,User login with missing credentials,Negative,N/A,"1. Send POST /auth/login with empty username or password
2. Verify response",Returns 400 status with validation error,,,Implemented in auth.test.ts
AUTH-004,Authentication,Get current user with valid token,Positive,User logged in with valid token,"1. Send GET /auth/me with Authorization header
2. Verify response",Returns 200 status with user details,,,Implemented in auth.test.ts
AUTH-005,Authentication,Get current user without token,Negative,No authentication token provided,"1. Send GET /auth/me without Authorization header
2. Verify response",Returns 401 status,,,Implemented in auth.test.ts
,,,,,,,,,
AIRCRAFT-001,Aircraft Management,Get all aircraft,Positive,User authenticated,"1. Send GET /aircraft with auth token
2. Verify response",Returns 200 status with array of aircraft,,,Implemented in aircraft.test.ts
AIRCRAFT-002,Aircraft Management,Get aircraft by valid ID,Positive,User authenticated and aircraft exists,"1. Send GET /aircraft/:id with valid ID
2. Verify response",Returns 200 status with aircraft details,,,Implemented in aircraft.test.ts
AIRCRAFT-003,Aircraft Management,Get aircraft by invalid ID,Negative,User authenticated,"1. Send GET /aircraft/invalid
2. Verify response",Returns 400 status with validation error,,,Implemented in aircraft.test.ts
AIRCRAFT-004,Aircraft Management,Get non-existent aircraft,Negative,User authenticated,"1. Send GET /aircraft/999999
2. Verify response",Returns 404 or empty array,,,Implemented in aircraft.test.ts
AIRCRAFT-005,Aircraft Management,Create aircraft with valid data (admin),Positive,Admin user authenticated,"1. Send POST /aircraft with tail_number
2. Verify response",Returns 201 status with insertId,,,Implemented in aircraft.test.ts
AIRCRAFT-006,Aircraft Management,Create aircraft with valid data (supervisor),Positive,Supervisor user authenticated,"1. Send POST /aircraft with tail_number
2. Verify response",Returns 201 status with insertId,,,Implemented in aircraft.test.ts
AIRCRAFT-007,Aircraft Management,Create aircraft without tail_number,Negative,User authenticated,"1. Send POST /aircraft with empty body
2. Verify response",Returns 400 status with validation error,,,Implemented in aircraft.test.ts
AIRCRAFT-008,Aircraft Management,Create aircraft with empty tail_number,Negative,User authenticated,"1. Send POST /aircraft with empty tail_number
2. Verify response",Returns 400 status with validation error,,,Implemented in aircraft.test.ts
AIRCRAFT-009,Aircraft Management,Create aircraft without authentication,Security,No authentication token,"1. Send POST /aircraft without auth header
2. Verify response",Returns 401 status,,,Implemented in aircraft.test.ts
AIRCRAFT-010,Aircraft Management,Create aircraft with SQL injection attempt,Security,User authenticated,"1. Send POST /aircraft with malicious tail_number
2. Verify response",Returns 201 (sanitized) or 400 (rejected),,,Implemented in aircraft.test.ts
AIRCRAFT-011,Aircraft Management,Update aircraft with valid data (admin),Positive,Admin authenticated and aircraft exists,"1. Send PUT /aircraft/:id with new tail_number
2. Verify response",Returns 200 status with success message,,,Implemented in aircraft.test.ts
AIRCRAFT-012,Aircraft Management,Update aircraft with valid data (supervisor),Positive,Supervisor authenticated and aircraft exists,"1. Send PUT /aircraft/:id with new tail_number
2. Verify response",Returns 200 status with success message,,,Implemented in aircraft.test.ts
AIRCRAFT-013,Aircraft Management,Update non-existent aircraft,Negative,User authenticated,"1. Send PUT /aircraft/999999 with data
2. Verify response",Returns 404 status,,,Implemented in aircraft.test.ts
